feature_name,importance,feature_family
cat__DOLocationID_101,0.00090204796,DOLocationID
cat__PULocationID_75,0.0009016577,PULocationID
cat__PULocationID_142,0.00089918304,PULocationID
cat__DOLocationID_81,0.00089814403,DOLocationID
cat__DOLocationID_20,0.0008980309,DOLocationID
cat__PULocationID_24,0.0008853812,PULocationID
cat__PULocationID_189,0.00087839784,PULocationID
cat__PULocationID_42,0.0008767734,PULocationID
cat__DOLocationID_113,0.00086843886,DOLocationID
cat__DOLocationID_33,0.0008673147,DOLocationID
cat__PULocationID_164,0.00085827254,PULocationID
cat__PULocationID_100,0.0008581065,PULocationID
cat__PULocationID_66,0.00085601123,PULocationID
cat__DOLocationID_90,0.00085527176,DOLocationID
cat__PULocationID_12,0.00085441244,PULocationID
cat__PULocationID_21,0.0008521866,PULocationID
cat__PULocationID_65,0.00084787136,PULocationID
cat__PULocationID_170,0.0008461946,PULocationID
cat__DOLocationID_26,0.00084253075,DOLocationID
cat__DOLocationID_87,0.00083958585,DOLocationID
cat__PULocationID_127,0.0008349798,PULocationID
cat__DOLocationID_106,0.0008300374,DOLocationID
cat__DOLocationID_56,0.0008244517,DOLocationID
cat__DOLocationID_148,0.00081985054,DOLocationID
cat__PULocationID_114,0.00081333885,PULocationID
cat__DOLocationID_146,0.0008047964,DOLocationID
cat__PULocationID_255,0.00080436154,PULocationID
cat__PULocationID_26,0.0008032014,PULocationID
cat__PULocationID_222,0.00079218723,PULocationID
cat__DOLocationID_168,0.00078629435,DOLocationID
cat__PULocationID_48,0.0007811189,PULocationID
cat__PULocationID_147,0.00077933446,PULocationID
cat__DOLocationID_28,0.00077858637,DOLocationID
cat__PULocationID_249,0.0007587125,PULocationID
cat__PULocationID_233,0.00075688434,PULocationID
cat__DOLocationID_129,0.0007552222,DOLocationID
cat__PULocationID_81,0.0007530852,PULocationID
cat__DOLocationID_80,0.00075192016,DOLocationID
cat__PULocationID_43,0.00074865075,PULocationID
cat__DOLocationID_205,0.0007400601,DOLocationID
cat__PULocationID_163,0.0007372042,PULocationID
cat__PULocationID_243,0.0007245709,PULocationID
cat__PULocationID_97,0.0007205635,PULocationID
cat__PULocationID_211,0.00070466165,PULocationID
cat__PULocationID_122,0.00069082674,PULocationID
cat__DOLocationID_18,0.00068787154,DOLocationID
cat__PULocationID_41,0.00068630895,PULocationID
cat__PULocationID_149,0.00068493385,PULocationID
cat__PULocationID_71,0.00067451474,PULocationID
cat__PULocationID_256,0.0006664712,PULocationID
cat__DOLocationID_234,0.00066553865,DOLocationID
cat__PULocationID_191,0.00066510006,PULocationID
cat__PULocationID_229,0.0006609805,PULocationID
cat__DOLocationID_209,0.0006543592,DOLocationID
cat__PULocationID_83,0.0006516815,PULocationID
cat__DOLocationID_124,0.00063670217,DOLocationID
